"drawing","model","tier","score","page_idx","pdf_path"
"207-35988","共通","2","-10000","","Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\207-35987,8_A-159-a,b_WEIGHT\207-35988_A191b_WEIGHT.pdf"
"","共通","2","-10000","","Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\209-36726_A128_FLYWHEEL SUPPORT\一次加工図 209-36726 A128 FLYWHEEL SUPPORT.pdf"
"209-43161","共通","2","-10000","","Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\209-43161_A-170_CLUTCH HUB\209-43161_A170_CLUTCH HUB.pdf"
"209-51360","共通","2","-10000","","Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\209-51360_A110_DRIVE SHAFT\209-51360 A110 DRIVE SHAFT.pdf"
"","共通","2","-10000","","Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\209-51360_A110_DRIVE SHAFT\一次加工図209-51360 A110 DRIVE SHAFT (1).pdf"
"","共通","2","-10000","","Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\209-51360_A110_DRIVE SHAFT\一次加工図209-51360 A110 DRIVE SHAFT.pdf"
"213-01647","共通","2","-10000","","Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\213-01647_C-008_HUB_AE070003-00\213-01647_C008_HUB.pdf"
"","共通","2","-10000","","Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\213-01647_C-008_HUB_AE070003-00\一次加工図_362-01468_C008_HUB.pdf"
"213-01648","共通","2","-10000","","Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\213-01648_D-008_HUB_AE070004-00\213-01648_D008_HUB.pdf"
"","共通","2","-10000","","Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\213-01648_D-008_HUB_AE070004-00\一次加工図_362-01469_D008_HUB.pdf"
"213-09366","共通","2","-10000","","Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\213-09366_C-019_CLUTCH SHAFT\213-09366_C-019.pdf"
"306-37879","共通","2","-10000","","Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\306-37879_M-118_WEIGHT\306-37879_M118_WEIGHT.pdf"
"","共通","2","-10000","","Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\307-10268_C-004_HUB\20250127145708375.pdf"
"309-42810","共通","2","-10000","","Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\309-42810_A-211_SPACER\309-42810_A211_SPACER.pdf"
"309-46619","共通","2","-10000","","Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\309-46619_A-126_RETAINER\309-46619 A126 RETAINER.pdf"
"309-66175","共通","2","-10000","","Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\309-66175_A124_SPACER\309-66175 A124 SPACER.pdf"
"309-66175","共通","2","-10000","","Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\309-66175_A124_SPACER_AE070001-00\309-66175_A124_SPACER.pdf"
"309-86886","共通","2","-10000","","Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\309-86886_B-040_NUT RETAINER_AE070002-00\309-86886_B040_NUT RETAINER.pdf"
"309-88376","共通","2","-10000","","Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\309-88376_A-124_SPACER\309-88376 A124 SPACER.pdf"
"309-88378","共通","2","-10000","","Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\309-88378_A-139_SPACER\309-88378 A139 SPACER.pdf"
"309-92338","共通","2","-10000","","Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\309-92338_A-204_SPACER\309-92338_A204_SPACER.pdf"
"313-11476","共通","2","-10000","","Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\313-11476_B-040_NUT RETAINER\313-11476 B040 NUT RETAINER.pdf"
"313-12673","共通","2","-10000","","Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\313-12673_A-110_CON.ROD\313-12673_A110_CON.ROD.pdf"
"358-17466","共通","2","-10000","","Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\358-17466_A-124_END PLATE\358-17466_A124_END PLATE.pdf"
"402-04745","共通","2","-10000","","Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\402-04748_S-43901C_BLOCK\402-04745_S43901C_BLOCK.pdf"
"402-04748","共通","2","-10000","","Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\402-04748_S-43901_BLOCK\402-04748_S43901_BLOCK.pdf"
"402-04775","共通","2","-10000","","Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\402-04748_S-43902_BLOCK\402-04775_S43902_BLOCK.pdf"
"406-17664","共通","2","-10000","","Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\406-17664_Q-117_BLOCK\406-17664_Q117_BLOCK.pdf"
"406-60626","共通","2","-10000","","Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\406-60626_A-143_PIN\406-60626_A143_PIN.pdf"
"407-52904","共通","2","-10000","","Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\407-52904_B-059_BASE\407-52904_B059_BASE.pdf"
